0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:29 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:29 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:29 +0800] "GET /monkeyLife/main.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:29 +0800] "GET /monkeyLife/image/dock/monkey.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:29 +0800] "GET /monkeyLife/image/dock/Japanese.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:29 +0800] "GET /monkeyLife/image/dock/Life.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:29 +0800] "GET /monkeyLife/image/dock/English.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:29 +0800] "GET /monkeyLife/image/dock/Feeling.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:29 +0800] "GET /monkeyLife/image/dock/Contacts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:29 +0800] "GET /monkeyLife/image/dock/Memory.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:46 +0800] "GET /monkeyLife/ HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:46 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:46 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:00:46 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:01:42 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/ HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/js/fisheye-iutil.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/js/jquery.jqDock.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/image/dock/backgroundImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/image/dock/background_001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/image/dock/monkey.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/image/dock/English.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/image/dock/Japanese.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/image/dock/Life.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/image/dock/Feeling.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/image/dock/Contacts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:02:52 +0800] "GET /monkeyLife/image/dock/Memory.jpg HTTP/1.1" 304 -
